SEASON_END_YEAR,TEAM_ABBREVIATION,PLAYERS,TOTAL_MINUTES,TOTAL_GAMES_PLAYER_SUM,AVG_AGE,TOTAL_RAPTOR_WAR,Raptor_O,Raptor_D,RaptorPLUS_MINUS,TSPCT,USGPCT,ASTPCT,TOVPCT,ORBPCT,DRBPCT,TRBPCT,STLPCT,BLKPCT,ORtg,DRtg,2PPCT,3PPCT,FTPCT,3PAr,FTAr,Pace_PLUS_MINUS
2012,LAC,18,15966,676,27.222,28.44,0.782,-0.019,0.743,52.835,19.824,14.858,12.752,5.893,14.638,10.217,1.887,1.652,108.153,105.88,47.561,25.016,70.413,24.584,31.641,0.211
2012,LAL,17,16066,665,27.765,26.62,0.318,0.22,0.523,52.788,19.894,15.46,14.315,5.821,14.966,10.592,1.28,1.576,106.246,104.568,48.211,30.17,74.358,23.58,27.937,-0.193
2012,MEM,17,15940,696,26.529,27.46,-0.118,0.741,0.638,51.603,19.886,13.268,13.029,5.967,14.551,10.171,2.095,1.758,105.223,101.887,47.054,22.783,75.496,15.125,28.204,-0.005
2012,MIA,16,16039,700,28.438,34.78,0.629,0.89,1.522,54.247,19.922,14.584,14.468,5.301,14.783,10.233,1.915,1.782,106.972,100.153,48.301,25.503,74.271,22.945,29.279,-0.009
2012,MIL,17,15867,713,25.765,21.9,0.206,-0.241,-0.044,51.963,19.926,15.65,12.749,5.553,14.172,9.728,1.775,1.583,105.518,105.467,47.086,32.049,76.024,21.334,25.319,-0.038
2012,MIN,15,15942,661,24.867,18.35,-0.176,-0.337,-0.47,51.832,19.907,13.531,13.842,5.514,14.606,10.047,1.395,1.312,103.585,106.828,46.606,28.283,76.374,27.634,29.554,-0.075
2012,NJN,22,15889,682,26.091,8.32,-0.454,-1.291,-1.714,51.042,19.848,15.085,13.588,5.562,14.139,9.719,1.656,1.249,102.819,109.729,44.587,28.433,76.641,26.939,27.819,0.06
2012,NOH,22,15940,669,25.455,15.15,-0.86,-0.03,-0.879,51.649,19.814,14.973,14.47,5.504,14.628,10.132,1.664,1.648,101.888,105.209,46.904,20.649,75.097,14.78,28.389,-0.017
2012,NYK,17,15939,664,26.882,27.92,0.049,0.65,0.681,53.973,19.871,14.215,14.429,5.347,14.754,9.987,2.009,1.371,106.042,101.231,49.173,26.189,73.578,28.473,33.725,0.239
2012,OKC,16,15991,715,26.125,36.17,1.19,0.502,1.682,56.108,19.925,13.201,15.766,5.542,14.415,10.293,1.607,2.465,109.536,103.392,50.361,26.648,75.455,23.991,32.417,-0.018
2012,ORL,16,15967,670,26.625,23.79,0.117,0.026,0.171,53.057,19.826,14.411,14.233,5.299,15.102,10.123,1.518,1.344,105.096,104.323,46.564,28.694,72.524,35.535,28.548,0.029
2012,PHI,16,15916,647,26.125,30.44,-0.08,1.088,1.009,51.034,19.888,14.758,10.449,4.88,15.049,9.934,1.767,1.599,104.542,99.341,46.43,27.647,74.073,17.93,21.184,-0.244
2012,PHO,13,15840,708,28.538,22.45,0.304,-0.268,0.036,53.754,19.904,14.752,12.903,5.162,14.337,9.786,1.409,1.678,106.715,106.647,49.566,26.66,75.089,23.401,25.617,-0.129
